id,comment
283,: 超可以
284,: 那顆隕石的靈感是碎星拉塔恩嗎
285,: 平常不愛洗腦歌但這首風格很特別，順順聽
286,: 完了
287,: 推
288,: 除了有些rap唸得很尷尬以外，這首歌意
289,: 外順耳耶？忍不住想多聽幾次
290,: 滿喜歡的耶
291,: 真的不好聽，一葉拉筋擔當好好笑
292,: MV喜歡，每個妝髮造形都不錯
293,: 超好聽的！期待舞台
294,: 上面一直拉筋念經的XDDD
295,: 符合韓國喜歡洗腦的取向吧？
296,: 推
297,: 好聽～～MV也喜歡！更期待舞台了
298,: 今年西語歌手真的大爆，這種曲風亞
299,: 洲不確定是否會中但感覺是直接瞄準
300,: 歐美市場
301,: 好鬧，好好聽
302,: 不過這個發歌時間倒是滿特別的 以前比較常
303,: 見
304,: 第一次聽覺得微妙，之後直接被洗腦
305,: 整個外型跟曲風好違和
306,: 比出道曲好
307,: 期待舞台！
308,: 聽的超爽 而且感覺舞台會很好看
309,: 這首副歌超可!覺得比fearless好很多，很洗
310,: 還可以 一位還是穩穩的
311,: 腦編舞超可愛而且MV每個成員都超美
312,: 意外不錯耶 很洗腦
313,: 中間念經rap有點可惜，一葉整首都在拉筋QQ
314,: 覺得除了拉筋也能讓她做其它的事情啊
315,: 譬如在芭蕾練習室跳舞到半夜啥的
316,: 一直拉筋真的有點怪
317,: 不過本來以為會跟寶石的概念有關 看起
318,: 來好像其實沒有？
319,: Hybe概念和音樂真的強，其他部門也跟上就
320,: 好了...XD
321,: 那句很洗腦，不過跟平常聽到的差異蠻
322,: 大的
323,: 有點微妙感XD
324,: Antititititititi fragile fragile anti
325,: tititi
326,: 這種歌就能接受的能接受，不能接受的
327,: 肯定難聽
328,: 不是安全牌類型的？不過上面說是歐美
329,: 流行的嗎
330,: mv出現的低畫質的地方覺得很可愛
331,: 超微妙... 只好期待專輯其他歌曲了
332,: QQ
333,: 就西語流行的Reggaeton曲風 https://yout
334,: u.be/p7bfOZek9t4
335,: 不喜歡的地方只有Lovey dovey 好突兀
336,: 雖然這首歌快4分鐘 但不會覺得很膩
337,: 好聽～～
338,: 撇除掉rap的部分，這首歌整體比出道曲好
339,: 拉筋那邊是對應歌詞吧？
340,: 喜歡副歌每個人都有機會站到C位的分配
341,: 推推～
342,: 超好聽 第一次就中了
343,: 好聽 跟Fearless一樣讚
344,: 櫻花髮釵的造型真不錯可惜只出現一瞬間
345,: 蠻喜歡這種曲風耶 就很像有些西語歌
346,: 喜歡雷鬼凍覺得超香好好聽
347,: 櫻花的part好像很少 五個人我都喜歡但還是
348,: 希望不要明顯誰少很多QQ
349,: 比較喜歡Fearless
350,: 櫻花part沒有少...是她唱的PART的時候都是
351,: 團體鏡頭或是別的成員鏡頭
352,: 所以MV覺得櫻花鏡頭有點少...
353,: 只能靠舞台了...
354,: 希望之後鏡頭可以多一點了...
355,: Reggaeton風格歐美一直都很愛,韓國人愛
356,: 的話那音源應該預期不錯
357,: 聽歌聲櫻花沒有少呀，最後一大堆都他耶
358,: 最少的應該還是忙內，但感覺不會差太多
359,: 搭抖音有戲喔......
360,: 歌不錯 但感覺只有允真比較適合
361,: 等spotify 上架
362,: 聽一次就喜歡，期待舞台
363,: 洗腦風+奇怪的腔調 我自己完全不行
364,: 但MV不錯 不愧是大公司肯花錢
365,: 好喜歡
366,: 聽第一次 歌沒有中但是編舞感覺很厲害，好
367,: 期待舞台！
368,: ...等等歌雖然沒中可是才聽一遍就忘不掉...
369,: 一聽就中，可惜感覺rap沒有撐起來，唱的
370,: 部分氣勢很好，更顯得那幾段rap 特別乾
371,: 越聽越愛 看了一下twitter 這次Raggaeto
372,: n風格歐美好像很中 太好了
373,: 這團風格越看越讚 但這首對我來說有點
374,: 過度洗腦XD 出道曲比較剛好 不過舞台
375,: 出來感覺會真香
376,: 這首真的很恐怖 睡前聽個幾次而已一起床
377,: 腦內都是anti ti ti ti ti
378,: 喜歡這風格 歐美感!!
379,: 這風格 打進國外市場 也不錯
380,: 出道曲反而很普通 就很一般
381,: 而且編舞看起來舞台一定很好看
382,: 耳機真香 真的一覺醒來就被洗腦XDDDDDD
383,: 醒來腦海第一句浮現的就是anti ti ti
384,:  ti ti好恐怖
385,: 通勤用耳機聽發現新世界
386,: 這首歌真的要用耳機聽啊
387,: MV好看欸(除了拉筋XD)，耳機搭配MV看這
388,: 歌就比較入耳一點，其實算念經歌裡好聽
389,: 的欸，好期待舞台，大家都好漂亮我已經
390,: 在路人轉粉邊緣了XD
391,: 真正的唸經歌是RV那首吧
392,: 這首我覺得不算 XD
393,: 耳機聽覺得很棒！！！
394,: 超喜歡
395,: 超喜歡MV!!!
396,: 聽一次就有中耶
397,: LS的曲風有發展出自己的樣子
398,: 不喜歡 沒驚艷到
399,: 他們歌都好吵
400,: 我很愛安踢踢飛蕉飛蕉那段欸XDDD
401,: 唸經歌滿貼切  不過滿洗腦
402,: 這團的概念: 不怕你不喜歡我 反正歌都會
403,: 住進你腦子
404,: MV拍得好，覺得五人組表現力又提升了，一
405,: 葉和忙內表情有幾幕有驚艷到
406,: 忙內這次真的好亮眼
407,: 超級超級好聽 好喜歡
408,: 好洗腦XD
409,: 很洗腦一遍就記得，但真的好像念經xd
410,: 覺得很好聽舞也很好看呀
411,: 雖然鏡頭很碎，但是那個舞蹈那個編排看
412,: 過都覺得會爆XD
413,: 雖然覺得還不錯聽 不過這首後續評價大
414,: 概取決於melon成績……
415,: 一葉後面副歌 超喜歡 我愛中村一樣 加
416,: 油
417,: 很明顯要攻歐美市場 這首真的幾乎就是
418,: 西語歌
419,: 每個人都有唱到副歌很讚
420,: 這首也太洗腦了吧
421,: 推五人～
422,: 歌不行…
423,: 一葉拉筋的舞跟畫面是配合歌詞 不是無
424,: 緣無故拉覺得還行
425,: 應該說hybe今年這兩團NewJeans還是走青
426,: 春活力POP SONG LESSERAFIM則是定位時
